task id (int32),problem,solution,section (integer)
,Nondimensionalize the polynomial\[a_{1} x^{10} + a_{2} x^{9} + a_{3}\]into one of the form $\epsilon y^{10} + y^{9} + 1$,"Start with the following substitution:\[x=y \sqrt[9]{\frac{a_{3}}{a_{2}}}\]
 This gives us the following expression:\[a_{1} y^{10} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{10}{9}} + a_{3} y^{9} + a_{3}\]
 Divide by the coefficient remaining in front of the constant, giving us the nondimensionalized polynomial with coefficients in terms of $a_1, a_2, a_3$:\[ \boxed{\frac{a_{1} y^{10} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{10}{9}}}{a_{3}} + y^{9} + 1}\]",
,Nondimensionalize the polynomial\[a_{1} x^{7} + a_{2} x^{5} + a_{3}\]into one of the form $\epsilon y^{7} + y^{5} + 1$,"Start with the following substitution:\[x=y \sqrt[5]{\frac{a_{3}}{a_{2}}}\]
 This gives us the following expression:\[a_{1} y^{7} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{7}{5}} + a_{3} y^{5} + a_{3}\]
 Divide by the coefficient remaining in front of the constant, giving us the nondimensionalized polynomial with coefficients in terms of $a_1, a_2, a_3$:\[ \boxed{\frac{a_{1} y^{7} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{7}{5}}}{a_{3}} + y^{5} + 1}\]",
,Nondimensionalize the polynomial\[a_{1} x^{10} + a_{2} x^{3} + a_{3}\]into one of the form $\epsilon y^{10} + y^{3} + 1$,"Start with the following substitution:\[x=y \sqrt[3]{\frac{a_{3}}{a_{2}}}\]
 This gives us the following expression:\[a_{1} y^{10} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{10}{3}} + a_{3} y^{3} + a_{3}\]
 Divide by the coefficient remaining in front of the constant, giving us the nondimensionalized polynomial with coefficients in terms of $a_1, a_2, a_3$:\[ \boxed{\frac{a_{1} y^{10} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{10}{3}}}{a_{3}} + y^{3} + 1}\]",
,Nondimensionalize the polynomial\[a_{1} x^{10} + a_{2} x^{7} + a_{3}\]into one of the form $\epsilon y^{10} + y^{7} + 1$,"Start with the following substitution:\[x=y \sqrt[7]{\frac{a_{3}}{a_{2}}}\]
 This gives us the following expression:\[a_{1} y^{10} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{10}{7}} + a_{3} y^{7} + a_{3}\]
 Divide by the coefficient remaining in front of the constant, giving us the nondimensionalized polynomial with coefficients in terms of $a_1, a_2, a_3$:\[ \boxed{\frac{a_{1} y^{10} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{10}{7}}}{a_{3}} + y^{7} + 1}\]",
,Nondimensionalize the polynomial\[a_{1} x^{10} + a_{2} x^{7} + a_{3}\]into one of the form $\epsilon y^{10} + y^{7} + 1$,"Start with the following substitution:\[x=y \sqrt[7]{\frac{a_{3}}{a_{2}}}\]
 This gives us the following expression:\[a_{1} y^{10} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{10}{7}} + a_{3} y^{7} + a_{3}\]
 Divide by the coefficient remaining in front of the constant, giving us the nondimensionalized polynomial with coefficients in terms of $a_1, a_2, a_3$:\[ \boxed{\frac{a_{1} y^{10} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{10}{7}}}{a_{3}} + y^{7} + 1}\]",
,Nondimensionalize the polynomial\[a_{1} x^{10} + a_{2} x^{9} + a_{3}\]into one of the form $\epsilon y^{10} + y^{9} + 1$,"Start with the following substitution:\[x=y \sqrt[9]{\frac{a_{3}}{a_{2}}}\]
 This gives us the following expression:\[a_{1} y^{10} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{10}{9}} + a_{3} y^{9} + a_{3}\]
 Divide by the coefficient remaining in front of the constant, giving us the nondimensionalized polynomial with coefficients in terms of $a_1, a_2, a_3$:\[ \boxed{\frac{a_{1} y^{10} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{10}{9}}}{a_{3}} + y^{9} + 1}\]",
,Nondimensionalize the polynomial\[a_{1} x^{4} + a_{2} x^{3} + a_{3}\]into one of the form $\epsilon y^{4} + y^{3} + 1$,"Start with the following substitution:\[x=y \sqrt[3]{\frac{a_{3}}{a_{2}}}\]
 This gives us the following expression:\[a_{1} y^{4} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{4}{3}} + a_{3} y^{3} + a_{3}\]
 Divide by the coefficient remaining in front of the constant, giving us the nondimensionalized polynomial with coefficients in terms of $a_1, a_2, a_3$:\[ \boxed{\frac{a_{1} y^{4} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{4}{3}}}{a_{3}} + y^{3} + 1}\]",
,Nondimensionalize the polynomial\[a_{1} x^{4} + a_{2} x^{3} + a_{3}\]into one of the form $\epsilon y^{4} + y^{3} + 1$,"Start with the following substitution:\[x=y \sqrt[3]{\frac{a_{3}}{a_{2}}}\]
 This gives us the following expression:\[a_{1} y^{4} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{4}{3}} + a_{3} y^{3} + a_{3}\]
 Divide by the coefficient remaining in front of the constant, giving us the nondimensionalized polynomial with coefficients in terms of $a_1, a_2, a_3$:\[ \boxed{\frac{a_{1} y^{4} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{4}{3}}}{a_{3}} + y^{3} + 1}\]",
,Nondimensionalize the polynomial\[a_{1} x^{10} + a_{2} x^{8} + a_{3}\]into one of the form $\epsilon y^{10} + y^{8} + 1$,"Start with the following substitution:\[x=y \sqrt[8]{\frac{a_{3}}{a_{2}}}\]
 This gives us the following expression:\[a_{1} y^{10} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{5}{4}} + a_{3} y^{8} + a_{3}\]
 Divide by the coefficient remaining in front of the constant, giving us the nondimensionalized polynomial with coefficients in terms of $a_1, a_2, a_3$:\[ \boxed{\frac{a_{1} y^{10} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{5}{4}}}{a_{3}} + y^{8} + 1}\]",
,Nondimensionalize the polynomial\[a_{1} x^{9} + a_{2} x^{6} + a_{3}\]into one of the form $\epsilon y^{9} + y^{6} + 1$,"Start with the following substitution:\[x=y \sqrt[6]{\frac{a_{3}}{a_{2}}}\]
 This gives us the following expression:\[a_{1} y^{9} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{3}{2}} + a_{3} y^{6} + a_{3}\]
 Divide by the coefficient remaining in front of the constant, giving us the nondimensionalized polynomial with coefficients in terms of $a_1, a_2, a_3$:\[ \boxed{\frac{a_{1} y^{9} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{3}{2}}}{a_{3}} + y^{6} + 1}\]",
,Nondimensionalize the polynomial\[a_{1} x^{8} + a_{2} x^{7} + a_{3}\]into one of the form $\epsilon y^{8} + y^{7} + 1$,"Start with the following substitution:\[x=y \sqrt[7]{\frac{a_{3}}{a_{2}}}\]
 This gives us the following expression:\[a_{1} y^{8} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{8}{7}} + a_{3} y^{7} + a_{3}\]
 Divide by the coefficient remaining in front of the constant, giving us the nondimensionalized polynomial with coefficients in terms of $a_1, a_2, a_3$:\[ \boxed{\frac{a_{1} y^{8} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{8}{7}}}{a_{3}} + y^{7} + 1}\]",
,Nondimensionalize the polynomial\[a_{1} x^{8} + a_{2} x + a_{3}\]into one of the form $\epsilon y^{8} + y^{1} + 1$,"Start with the following substitution:\[x=\frac{a_{3} y}{a_{2}}\]
 This gives us the following expression:\[\frac{a_{1} a_{3}^{8} y^{8}}{a_{2}^{8}} + a_{3} y + a_{3}\]
 Divide by the coefficient remaining in front of the constant, giving us the nondimensionalized polynomial with coefficients in terms of $a_1, a_2, a_3$:\[ \boxed{\frac{a_{1} a_{3}^{7} y^{8}}{a_{2}^{8}} + y + 1}\]",
,Nondimensionalize the polynomial\[a_{1} x^{9} + a_{2} x^{4} + a_{3}\]into one of the form $\epsilon y^{9} + y^{4} + 1$,"Start with the following substitution:\[x=y \sqrt[4]{\frac{a_{3}}{a_{2}}}\]
 This gives us the following expression:\[a_{1} y^{9} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{9}{4}} + a_{3} y^{4} + a_{3}\]
 Divide by the coefficient remaining in front of the constant, giving us the nondimensionalized polynomial with coefficients in terms of $a_1, a_2, a_3$:\[ \boxed{\frac{a_{1} y^{9} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{9}{4}}}{a_{3}} + y^{4} + 1}\]",
,Nondimensionalize the polynomial\[a_{1} x^{8} + a_{2} x^{6} + a_{3}\]into one of the form $\epsilon y^{8} + y^{6} + 1$,"Start with the following substitution:\[x=y \sqrt[6]{\frac{a_{3}}{a_{2}}}\]
 This gives us the following expression:\[a_{1} y^{8} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{4}{3}} + a_{3} y^{6} + a_{3}\]
 Divide by the coefficient remaining in front of the constant, giving us the nondimensionalized polynomial with coefficients in terms of $a_1, a_2, a_3$:\[ \boxed{\frac{a_{1} y^{8} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{4}{3}}}{a_{3}} + y^{6} + 1}\]",
,Nondimensionalize the polynomial\[a_{1} x^{3} + a_{2} x + a_{3}\]into one of the form $\epsilon y^{3} + y^{1} + 1$,"Start with the following substitution:\[x=\frac{a_{3} y}{a_{2}}\]
 This gives us the following expression:\[\frac{a_{1} a_{3}^{3} y^{3}}{a_{2}^{3}} + a_{3} y + a_{3}\]
 Divide by the coefficient remaining in front of the constant, giving us the nondimensionalized polynomial with coefficients in terms of $a_1, a_2, a_3$:\[ \boxed{\frac{a_{1} a_{3}^{2} y^{3}}{a_{2}^{3}} + y + 1}\]",
,Nondimensionalize the polynomial\[a_{1} x^{10} + a_{2} x^{5} + a_{3}\]into one of the form $\epsilon y^{10} + y^{5} + 1$,"Start with the following substitution:\[x=y \sqrt[5]{\frac{a_{3}}{a_{2}}}\]
 This gives us the following expression:\[\frac{a_{1} a_{3}^{2} y^{10}}{a_{2}^{2}} + a_{3} y^{5} + a_{3}\]
 Divide by the coefficient remaining in front of the constant, giving us the nondimensionalized polynomial with coefficients in terms of $a_1, a_2, a_3$:\[ \boxed{\frac{a_{1} a_{3} y^{10}}{a_{2}^{2}} + y^{5} + 1}\]",
,Nondimensionalize the polynomial\[a_{1} x^{7} + a_{2} x^{6} + a_{3}\]into one of the form $\epsilon y^{7} + y^{6} + 1$,"Start with the following substitution:\[x=y \sqrt[6]{\frac{a_{3}}{a_{2}}}\]
 This gives us the following expression:\[a_{1} y^{7} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{7}{6}} + a_{3} y^{6} + a_{3}\]
 Divide by the coefficient remaining in front of the constant, giving us the nondimensionalized polynomial with coefficients in terms of $a_1, a_2, a_3$:\[ \boxed{\frac{a_{1} y^{7} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{7}{6}}}{a_{3}} + y^{6} + 1}\]",
,Nondimensionalize the polynomial\[a_{1} x^{10} + a_{2} x^{6} + a_{3}\]into one of the form $\epsilon y^{10} + y^{6} + 1$,"Start with the following substitution:\[x=y \sqrt[6]{\frac{a_{3}}{a_{2}}}\]
 This gives us the following expression:\[a_{1} y^{10} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{5}{3}} + a_{3} y^{6} + a_{3}\]
 Divide by the coefficient remaining in front of the constant, giving us the nondimensionalized polynomial with coefficients in terms of $a_1, a_2, a_3$:\[ \boxed{\frac{a_{1} y^{10} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{5}{3}}}{a_{3}} + y^{6} + 1}\]",
,Nondimensionalize the polynomial\[a_{1} x^{9} + a_{2} x^{6} + a_{3}\]into one of the form $\epsilon y^{9} + y^{6} + 1$,"Start with the following substitution:\[x=y \sqrt[6]{\frac{a_{3}}{a_{2}}}\]
 This gives us the following expression:\[a_{1} y^{9} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{3}{2}} + a_{3} y^{6} + a_{3}\]
 Divide by the coefficient remaining in front of the constant, giving us the nondimensionalized polynomial with coefficients in terms of $a_1, a_2, a_3$:\[ \boxed{\frac{a_{1} y^{9} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{3}{2}}}{a_{3}} + y^{6} + 1}\]",
,Nondimensionalize the polynomial\[a_{1} x^{9} + a_{2} x^{3} + a_{3}\]into one of the form $\epsilon y^{9} + y^{3} + 1$,"Start with the following substitution:\[x=y \sqrt[3]{\frac{a_{3}}{a_{2}}}\]
 This gives us the following expression:\[\frac{a_{1} a_{3}^{3} y^{9}}{a_{2}^{3}} + a_{3} y^{3} + a_{3}\]
 Divide by the coefficient remaining in front of the constant, giving us the nondimensionalized polynomial with coefficients in terms of $a_1, a_2, a_3$:\[ \boxed{\frac{a_{1} a_{3}^{2} y^{9}}{a_{2}^{3}} + y^{3} + 1}\]",
,Nondimensionalize the polynomial\[a_{1} x^{6} + a_{2} x^{2} + a_{3}\]into one of the form $\epsilon y^{6} + y^{2} + 1$,"Start with the following substitution:\[x=y \sqrt{\frac{a_{3}}{a_{2}}}\]
 This gives us the following expression:\[\frac{a_{1} a_{3}^{3} y^{6}}{a_{2}^{3}} + a_{3} y^{2} + a_{3}\]
 Divide by the coefficient remaining in front of the constant, giving us the nondimensionalized polynomial with coefficients in terms of $a_1, a_2, a_3$:\[ \boxed{\frac{a_{1} a_{3}^{2} y^{6}}{a_{2}^{3}} + y^{2} + 1}\]",
,Nondimensionalize the polynomial\[a_{1} x^{10} + a_{2} x^{5} + a_{3}\]into one of the form $\epsilon y^{10} + y^{5} + 1$,"Start with the following substitution:\[x=y \sqrt[5]{\frac{a_{3}}{a_{2}}}\]
 This gives us the following expression:\[\frac{a_{1} a_{3}^{2} y^{10}}{a_{2}^{2}} + a_{3} y^{5} + a_{3}\]
 Divide by the coefficient remaining in front of the constant, giving us the nondimensionalized polynomial with coefficients in terms of $a_1, a_2, a_3$:\[ \boxed{\frac{a_{1} a_{3} y^{10}}{a_{2}^{2}} + y^{5} + 1}\]",
,Nondimensionalize the polynomial\[a_{1} x^{8} + a_{2} x^{4} + a_{3}\]into one of the form $\epsilon y^{8} + y^{4} + 1$,"Start with the following substitution:\[x=y \sqrt[4]{\frac{a_{3}}{a_{2}}}\]
 This gives us the following expression:\[\frac{a_{1} a_{3}^{2} y^{8}}{a_{2}^{2}} + a_{3} y^{4} + a_{3}\]
 Divide by the coefficient remaining in front of the constant, giving us the nondimensionalized polynomial with coefficients in terms of $a_1, a_2, a_3$:\[ \boxed{\frac{a_{1} a_{3} y^{8}}{a_{2}^{2}} + y^{4} + 1}\]",
,Nondimensionalize the polynomial\[a_{1} x^{10} + a_{2} x^{6} + a_{3}\]into one of the form $\epsilon y^{10} + y^{6} + 1$,"Start with the following substitution:\[x=y \sqrt[6]{\frac{a_{3}}{a_{2}}}\]
 This gives us the following expression:\[a_{1} y^{10} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{5}{3}} + a_{3} y^{6} + a_{3}\]
 Divide by the coefficient remaining in front of the constant, giving us the nondimensionalized polynomial with coefficients in terms of $a_1, a_2, a_3$:\[ \boxed{\frac{a_{1} y^{10} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{5}{3}}}{a_{3}} + y^{6} + 1}\]",
,Nondimensionalize the polynomial\[a_{1} x^{8} + a_{2} x^{7} + a_{3}\]into one of the form $\epsilon y^{8} + y^{7} + 1$,"Start with the following substitution:\[x=y \sqrt[7]{\frac{a_{3}}{a_{2}}}\]
 This gives us the following expression:\[a_{1} y^{8} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{8}{7}} + a_{3} y^{7} + a_{3}\]
 Divide by the coefficient remaining in front of the constant, giving us the nondimensionalized polynomial with coefficients in terms of $a_1, a_2, a_3$:\[ \boxed{\frac{a_{1} y^{8} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{8}{7}}}{a_{3}} + y^{7} + 1}\]",
,Nondimensionalize the polynomial\[a_{1} x^{5} + a_{2} x^{3} + a_{3}\]into one of the form $\epsilon y^{5} + y^{3} + 1$,"Start with the following substitution:\[x=y \sqrt[3]{\frac{a_{3}}{a_{2}}}\]
 This gives us the following expression:\[a_{1} y^{5} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{5}{3}} + a_{3} y^{3} + a_{3}\]
 Divide by the coefficient remaining in front of the constant, giving us the nondimensionalized polynomial with coefficients in terms of $a_1, a_2, a_3$:\[ \boxed{\frac{a_{1} y^{5} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{5}{3}}}{a_{3}} + y^{3} + 1}\]",
,Nondimensionalize the polynomial\[a_{1} x^{3} + a_{2} x + a_{3}\]into one of the form $\epsilon y^{3} + y^{1} + 1$,"Start with the following substitution:\[x=\frac{a_{3} y}{a_{2}}\]
 This gives us the following expression:\[\frac{a_{1} a_{3}^{3} y^{3}}{a_{2}^{3}} + a_{3} y + a_{3}\]
 Divide by the coefficient remaining in front of the constant, giving us the nondimensionalized polynomial with coefficients in terms of $a_1, a_2, a_3$:\[ \boxed{\frac{a_{1} a_{3}^{2} y^{3}}{a_{2}^{3}} + y + 1}\]",
,Nondimensionalize the polynomial\[a_{1} x^{8} + a_{2} x + a_{3}\]into one of the form $\epsilon y^{8} + y^{1} + 1$,"Start with the following substitution:\[x=\frac{a_{3} y}{a_{2}}\]
 This gives us the following expression:\[\frac{a_{1} a_{3}^{8} y^{8}}{a_{2}^{8}} + a_{3} y + a_{3}\]
 Divide by the coefficient remaining in front of the constant, giving us the nondimensionalized polynomial with coefficients in terms of $a_1, a_2, a_3$:\[ \boxed{\frac{a_{1} a_{3}^{7} y^{8}}{a_{2}^{8}} + y + 1}\]",
,Nondimensionalize the polynomial\[a_{1} x^{10} + a_{2} x^{5} + a_{3}\]into one of the form $\epsilon y^{10} + y^{5} + 1$,"Start with the following substitution:\[x=y \sqrt[5]{\frac{a_{3}}{a_{2}}}\]
 This gives us the following expression:\[\frac{a_{1} a_{3}^{2} y^{10}}{a_{2}^{2}} + a_{3} y^{5} + a_{3}\]
 Divide by the coefficient remaining in front of the constant, giving us the nondimensionalized polynomial with coefficients in terms of $a_1, a_2, a_3$:\[ \boxed{\frac{a_{1} a_{3} y^{10}}{a_{2}^{2}} + y^{5} + 1}\]",
,Nondimensionalize the polynomial\[a_{1} x^{6} + a_{2} x^{5} + a_{3}\]into one of the form $\epsilon y^{6} + y^{5} + 1$,"Start with the following substitution:\[x=y \sqrt[5]{\frac{a_{3}}{a_{2}}}\]
 This gives us the following expression:\[a_{1} y^{6} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{6}{5}} + a_{3} y^{5} + a_{3}\]
 Divide by the coefficient remaining in front of the constant, giving us the nondimensionalized polynomial with coefficients in terms of $a_1, a_2, a_3$:\[ \boxed{\frac{a_{1} y^{6} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{6}{5}}}{a_{3}} + y^{5} + 1}\]",
,Nondimensionalize the polynomial\[a_{1} x^{8} + a_{2} x^{2} + a_{3}\]into one of the form $\epsilon y^{8} + y^{2} + 1$,"Start with the following substitution:\[x=y \sqrt{\frac{a_{3}}{a_{2}}}\]
 This gives us the following expression:\[\frac{a_{1} a_{3}^{4} y^{8}}{a_{2}^{4}} + a_{3} y^{2} + a_{3}\]
 Divide by the coefficient remaining in front of the constant, giving us the nondimensionalized polynomial with coefficients in terms of $a_1, a_2, a_3$:\[ \boxed{\frac{a_{1} a_{3}^{3} y^{8}}{a_{2}^{4}} + y^{2} + 1}\]",
,Nondimensionalize the polynomial\[a_{1} x^{10} + a_{2} x^{9} + a_{3}\]into one of the form $\epsilon y^{10} + y^{9} + 1$,"Start with the following substitution:\[x=y \sqrt[9]{\frac{a_{3}}{a_{2}}}\]
 This gives us the following expression:\[a_{1} y^{10} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{10}{9}} + a_{3} y^{9} + a_{3}\]
 Divide by the coefficient remaining in front of the constant, giving us the nondimensionalized polynomial with coefficients in terms of $a_1, a_2, a_3$:\[ \boxed{\frac{a_{1} y^{10} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{10}{9}}}{a_{3}} + y^{9} + 1}\]",
,Nondimensionalize the polynomial\[a_{1} x^{7} + a_{2} x + a_{3}\]into one of the form $\epsilon y^{7} + y^{1} + 1$,"Start with the following substitution:\[x=\frac{a_{3} y}{a_{2}}\]
 This gives us the following expression:\[\frac{a_{1} a_{3}^{7} y^{7}}{a_{2}^{7}} + a_{3} y + a_{3}\]
 Divide by the coefficient remaining in front of the constant, giving us the nondimensionalized polynomial with coefficients in terms of $a_1, a_2, a_3$:\[ \boxed{\frac{a_{1} a_{3}^{6} y^{7}}{a_{2}^{7}} + y + 1}\]",
,Nondimensionalize the polynomial\[a_{1} x^{10} + a_{2} x^{9} + a_{3}\]into one of the form $\epsilon y^{10} + y^{9} + 1$,"Start with the following substitution:\[x=y \sqrt[9]{\frac{a_{3}}{a_{2}}}\]
 This gives us the following expression:\[a_{1} y^{10} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{10}{9}} + a_{3} y^{9} + a_{3}\]
 Divide by the coefficient remaining in front of the constant, giving us the nondimensionalized polynomial with coefficients in terms of $a_1, a_2, a_3$:\[ \boxed{\frac{a_{1} y^{10} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{10}{9}}}{a_{3}} + y^{9} + 1}\]",
,Nondimensionalize the polynomial\[a_{1} x^{7} + a_{2} x^{6} + a_{3}\]into one of the form $\epsilon y^{7} + y^{6} + 1$,"Start with the following substitution:\[x=y \sqrt[6]{\frac{a_{3}}{a_{2}}}\]
 This gives us the following expression:\[a_{1} y^{7} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{7}{6}} + a_{3} y^{6} + a_{3}\]
 Divide by the coefficient remaining in front of the constant, giving us the nondimensionalized polynomial with coefficients in terms of $a_1, a_2, a_3$:\[ \boxed{\frac{a_{1} y^{7} \left(\frac{a_{3}}{a_{2}}\right)^{\frac{7}{6}}}{a_{3}} + y^{6} + 1}\]",
